gene,male_acrophase_hour,female_acrophase_hour,circular_distance_hour,average_acrophase_hour,average_acrophase_rad,male_bf_log10,female_bf_log10
Mecom,18.94,16.66,2.28,17.8,4.6599,82.14,54.17
Mfsd10,10.23,8.11,2.12,9.17,2.4011,46.4,14.76
Mgp,15.68,13.81,1.87,14.74,3.8595,2350.48,62.4
Mirg,14.35,17.01,2.66,15.68,4.1047,6.5,3.59
Mknk2,13.22,13.86,0.64,13.54,3.5441,396.64,146.53
Mlf1,12.23,10.66,1.57,11.44,2.9957,111.16,20.43
Mmp14,2.4,2.95,0.55,2.68,0.7004,17.82,38.58
Mpp2,15.08,15.54,0.46,15.31,4.0083,32.68,27.01
Mri1,9.24,8.2,1.04,8.72,2.2822,30.04,3.32
Mrnip,7.88,9.12,1.23,8.5,2.225,4.8,2.46
Msmo1,19.84,18.96,0.88,19.4,5.079,201.77,24.35
Mt1,11.44,10.78,0.66,11.11,2.9089,1931.15,2608.96
Mt2,10.1,10.1,0.0,10.1,2.6452,484.41,504.41
Mthfd1,1.76,2.59,0.84,2.17,0.5694,2.31,7.95
Mthfd1l,14.0,13.99,0.0,13.99,3.6636,261.41,153.93
Mthfr,19.75,20.21,0.46,19.98,5.2298,32.55,42.39
Mturn,19.38,18.08,1.31,18.73,4.9041,13.39,4.19
Mvd,20.09,18.11,1.98,19.1,4.9998,14.94,3.26
Myh10,1.28,22.36,2.92,23.82,6.2352,106.7,16.93
Mylk4,15.9,17.82,1.93,16.86,4.414,750.59,394.6
Myo10,1.46,1.73,0.27,1.6,0.4177,14.73,11.33
Myoz2,14.9,15.88,0.98,15.39,4.0293,245.52,187.91
Nav2,2.76,2.52,0.24,2.64,0.6907,183.39,140.88
Nceh1,8.66,8.81,0.15,8.73,2.2868,12.61,3.05
Ndp,12.32,9.72,2.6,11.02,2.8838,21.67,5.83
Ndst3,15.89,18.0,2.12,16.94,4.4362,18.05,63.44
Net1,13.73,14.62,0.89,14.18,3.7114,562.56,378.03
Nexn,23.2,21.36,1.84,22.28,5.8321,242.05,215.74
Nfil3,23.19,21.35,1.84,22.27,5.8302,1852.34,1490.08
Ngef,11.06,11.27,0.21,11.17,2.9232,45.11,56.82
Nkx6-1,22.44,21.84,0.6,22.14,5.7962,78.68,33.07
Nmt1,17.3,15.0,2.3,16.15,4.2273,59.79,107.67
Nox4,15.58,16.87,1.29,16.23,4.2479,125.69,77.11
Npas2,2.01,0.9,1.11,1.45,0.38,704.85,362.18
Npr3,18.36,19.28,0.93,18.82,4.9274,61.41,79.37
Nr1d1,8.38,8.75,0.38,8.56,2.2422,4449.64,3800.5
Nr1d2,10.49,10.71,0.22,10.6,2.7743,2369.56,1669.51
Ntn4,18.19,20.51,2.32,19.35,5.066,25.79,52.94
Nxph3,4.85,4.66,0.2,4.75,1.2448,3.94,2.41
Ogn,22.84,22.56,0.28,22.7,5.943,222.48,594.89
Olfr1033,20.23,17.35,2.88,18.79,4.9199,4.53,147.11
Oplah,16.07,16.84,0.77,16.45,4.3076,26.55,30.25
P2rx5,15.64,17.59,1.95,16.62,4.3502,14.86,19.23
Palld,20.75,17.83,2.92,19.29,5.05,163.03,72.94
Pawr,0.8,23.76,1.04,0.28,0.0739,185.45,98.97
Pcyt2,19.76,18.7,1.06,19.23,5.0338,27.78,3.3
Pdcd4,8.74,7.93,0.81,8.34,2.1829,8.55,236.92
Pdgfb,7.42,6.88,0.54,7.15,1.8711,97.63,88.01
Pdia6,21.38,23.55,2.17,22.47,5.8821,137.35,5.81
Pdlim4,1.28,4.06,2.79,2.67,0.6989,48.74,106.07
Pdxk,16.13,14.86,1.28,15.49,4.0563,71.84,63.9
Pdzd2,1.69,0.07,1.62,0.88,0.2291,136.21,64.12
Peli1,11.47,11.47,0.0,11.47,3.0032,141.94,178.46
Per1,11.34,11.69,0.35,11.52,3.0155,581.16,252.88
Per2,14.71,14.44,0.27,14.57,3.8152,689.18,688.9
Per3,13.52,12.3,1.22,12.91,3.3794,2254.74,1151.4
Pfn1,9.82,6.85,2.96,8.33,2.1821,557.41,739.37
Phactr3,9.41,9.04,0.36,9.23,2.4155,23.35,52.87
Phf19,15.72,14.75,0.96,15.24,3.9886,14.16,12.71
Phgdh,14.35,12.97,1.37,13.66,3.5761,28.35,21.6
Pik3ip1,11.98,9.51,2.48,10.75,2.8132,134.97,136.44
Pim3,9.56,7.34,2.22,8.45,2.2112,115.25,257.25
Pip4k2a,19.76,19.32,0.44,19.54,5.115,24.09,20.85
Pitpnm2,14.41,14.95,0.54,14.68,3.8435,93.76,101.1
Pkd1,15.67,16.67,1.01,16.17,4.2334,39.03,237.75
Pkdcc,22.43,21.87,0.56,22.15,5.7997,156.71,440.74
Pkig,11.87,10.06,1.81,10.97,2.8711,197.87,50.07
Plcl1,18.09,16.7,1.39,17.39,4.5535,28.69,46.41
Plekhg3,0.84,22.58,2.26,23.71,6.2073,30.41,21.62
Plvap,3.11,3.73,0.62,3.42,0.8955,125.74,394.21
Pmvk,19.07,18.07,1.0,18.57,4.8606,21.99,20.06
Podn,17.9,15.02,2.88,16.46,4.3084,7.71,4.65
Ppef1,17.98,18.35,0.37,18.16,4.7551,140.73,58.13
Ppfia4,7.62,5.87,1.76,6.75,1.7662,2.76,2.14
Ppp1r1b,10.92,8.85,2.07,9.89,2.5885,28.81,27.71
Ppp1r3b,20.95,20.6,0.35,20.78,5.4393,212.16,119.66
Prelid2,2.98,1.19,1.79,2.08,0.5452,46.19,18.88
Ptgs2,12.3,14.99,2.69,13.65,3.5728,5.61,71.58
Ptprz1,22.94,22.21,0.72,22.57,5.91,373.75,262.39
Rab6b,18.02,17.97,0.05,17.99,4.7104,151.67,129.22
Rapgef5,13.49,12.47,1.02,12.98,3.399,126.4,159.76
Rasd2,11.98,11.34,0.64,11.66,3.0533,146.79,99.59
Rasl10b,16.59,14.27,2.32,15.43,4.0396,34.34,86.73
Rasl11a,0.02,0.03,0.01,0.02,0.0053,750.25,901.87
Rbm3,10.8,8.51,2.29,9.66,2.5289,3012.81,660.84
Resf1,11.92,11.76,0.16,11.84,3.1,236.01,176.08
Rgcc,11.6,11.56,0.04,11.58,3.0312,286.59,150.97
Rgl1,16.31,17.63,1.31,16.97,4.4424,9.71,13.96
Rgs7bp,14.4,14.41,0.01,14.41,3.7717,116.28,102.11
Rhobtb1,14.4,14.12,0.28,14.26,3.7343,523.81,119.95
Rhoc,5.33,5.26,0.07,5.29,1.3858,74.21,422.29
Rin3,16.46,17.49,1.03,16.98,4.4445,35.91,28.62
Rnaseh2b,12.96,12.2,0.76,12.58,3.2928,198.08,28.67
Rnd3,23.02,22.05,0.97,22.53,5.8995,1019.73,459.57
Rpa1,15.52,13.68,1.84,14.6,3.8214,3.35,28.96
Rsad1,9.36,9.78,0.43,9.57,2.5058,19.29,9.48
Rspo3,12.01,11.24,0.77,11.63,3.0437,65.97,6.22
Samd1,18.04,19.39,1.35,18.71,4.8986,4.33,2.51
Scarb2,17.13,14.76,2.37,15.94,4.1739,11.76,32.89
