gene,acrophase_hour,acrophase_rad,bf_log10,expected_mesor
Kcna5,9.64,2.5238,11.82,-13.28
Kcnd3,4.7,1.2296,4.2,-11.8124
Kcnk1,4.82,1.2607,9.72,-12.773
Kcnq3,19.29,5.051,14.29,-12.5123
Kctd12b,9.01,2.3595,8.37,-12.0425
Kdelr2,5.3,1.3883,41.76,-9.256
Kdelr3,7.55,1.977,35.47,-9.8597
Kif3a,20.75,5.4329,53.48,-10.0214
Kif5c,17.51,4.5841,4.49,-12.5671
Kirrel,21.45,5.6146,10.51,-11.0892
Klf15,10.0,2.6185,344.37,-10.2296
Klf9,10.57,2.7682,189.76,-7.8611
Klhdc8b,9.42,2.4667,3.69,-10.0608
Klhl26,0.58,0.1519,2.67,-11.112
Klhl29,10.94,2.8633,4.83,-13.3238
Klhl30,0.62,0.1612,17.79,-11.3499
Klhl31,1.84,0.4812,142.71,-12.8337
Klhl38,6.57,1.7197,3.37,-13.2892
Krt18,4.27,1.1188,23.57,-10.8102
Ky,4.88,1.2771,126.79,-12.0205
L3hypdh,7.13,1.8656,15.38,-11.7898
L3mbtl3,15.94,4.1737,7.61,-11.6285
Lama4,16.91,4.426,125.36,-9.2417
Lamc2,15.82,4.1418,3.06,-13.3987
Lancl3,23.01,6.0249,60.06,-10.6476
Lars2,21.25,5.564,373.25,-7.1439
Lasp1,23.4,6.1269,59.58,-11.3256
Lats2,20.85,5.4597,82.11,-9.6152
Ldb2,13.26,3.4707,6.96,-12.8569
Ldb3,20.33,5.3212,20.23,-9.4879
Ldlr,17.92,4.6927,142.45,-10.2583
Lefty1,9.83,2.5729,58.47,-11.918
Leo1,23.68,6.2005,155.9,-11.373
Lhfp,4.68,1.2245,130.81,-7.9048
Limch1,1.13,0.2961,370.05,-8.2948
Limd1,12.78,3.3454,5.35,-9.9644
Lix1,10.3,2.696,6.79,-13.2965
Lman2l,20.61,5.3957,9.09,-11.0391
Lmcd1,23.84,6.2409,795.84,-7.8274
Lncpint,9.14,2.3931,4.68,-11.2336
Lnx1,8.24,2.1581,61.91,-11.5157
Lockd,17.44,4.5653,7.02,-12.0952
Lonrf1,14.74,3.8584,88.46,-11.0041
Lox,23.27,6.0933,851.77,-9.2218
Lpl,16.75,4.3839,90.88,-10.8833
Lratd1,5.43,1.4217,20.48,-11.5738
Lrch1,0.57,0.1492,44.93,-10.7685
Lrg1,10.38,2.7167,10.51,-13.4111
Lrrc17,9.73,2.5483,10.78,-9.1577
Lrrc39,6.63,1.7357,3.14,-11.6662
Lsm11,22.58,5.912,8.64,-11.7946
Lsm6,3.94,1.0311,14.88,-9.2914
Lsm8,5.92,1.5497,12.52,-9.7843
Lsmem2,0.34,0.0902,63.19,-11.7081
Lynx1,6.06,1.5863,7.51,-10.7126
Lyst,18.96,4.9637,111.34,-9.9151
Lyve1,0.39,0.1034,3.29,-12.5076
Lzts3,19.14,5.011,17.53,-12.6524
Maco1,15.29,4.0025,136.38,-9.6242
Maged2,7.09,1.8574,13.58,-9.5643
Malt1,19.13,5.0075,41.63,-11.0165
Mamdc2,13.22,3.4601,16.28,-11.632
Maml3,8.19,2.1431,7.57,-12.0503
Mamstr,7.99,2.0915,23.22,-12.4532
Manf,21.0,5.4979,103.25,-8.9413
Map1a,22.56,5.9074,138.93,-9.0651
Map1b,18.6,4.8697,148.66,-6.9637
Map4k4,0.24,0.0636,27.26,-9.6922
Mapre2,14.57,3.8141,47.78,-9.9092
Mark1,19.0,4.9744,18.75,-9.7177
Mbd1,11.17,2.9244,35.08,-11.3583
Mboat1,23.96,6.2736,22.48,-13.3477
Me3,5.11,1.337,19.65,-12.4067
Meaf6,20.45,5.3537,2.39,-10.4857
Mecom,16.66,4.362,54.17,-9.7619
Metrnl,10.75,2.8155,2.29,-10.7014
