gene,wt_cross_sex_ll,ko_cross_sex_ll,is_wt_cycler
Bace1,-250.6310316163438,-251.007962315046,False
Bad,-258.76032030493354,-265.6605330647502,False
Bag1,-256.4385761687498,-253.2347519542661,False
Bag2,-267.46303851932237,-267.4292385881197,False
Bag3,-331.74234676860385,-288.5583368954659,False
Bag5,-241.14388229204494,-277.7946535183471,False
Bag6,-253.28044883098676,-256.2817325461622,False
Bambi,-246.38863244130164,-275.1874007652566,False
Banf1,-255.37179137160612,-264.17168018274623,False
Bax,-252.903918936735,-265.5451237665674,False
Baz1b,-272.83915907770654,-255.57767837844676,False
Baz2b,-278.0774698391217,-264.55962923405457,False
Bbip1,-261.7656048796408,-261.1348942385932,False
Bbx,-264.29178076948324,-247.11390055288518,False
Bcam,-266.3695869631533,-275.7022524547622,False
Bcap31,-253.94586127394908,-266.50905908224195,False
Bcar3,-278.83987215173767,-263.97923033872723,False
Bcas2,-279.1842142704273,-250.2512179203186,False
Bccip,-234.5786186244718,-238.29122792320382,False
Bckdha,-246.09964977034525,-256.8141659659405,False
Bckdk,-258.33806583455316,-248.72031995210818,False
Bcl10,-254.7945018920902,-259.9936377376457,False
Bcl2,-268.5781279119409,-266.5874939087085,False
Bcl7b,-249.80128180222425,-246.53870021813682,False
Bcl7c,-258.2787075430865,-245.37809235773608,False
Bcl9l,-336.5071500474089,-305.12743645340424,False
Bclaf1,-294.1323946717882,-271.57437770432085,False
Bcr,-274.2646648070738,-297.15030346101776,False
Bdnf,-248.65701844718308,-351.4266915129298,False
Bdp1,-278.16133230501146,-277.2697252449879,False
Becn1,-248.81153780777927,-246.73055004631473,False
Bet1,-268.9613665131958,-264.82230923688326,False
Bet1l,-263.2533315457369,-252.03840067766095,False
Bex3,-248.54960153682052,-257.0053253515283,False
Bfar,-265.13819887590773,-271.75924107263705,False
Bgn,-280.9936036228378,-342.8868351744791,False
Bicd1,-265.45074130655166,-272.04594209103954,False
Bicd2,-313.9806236404906,-254.96853841758696,False
Bik,-330.7987708679403,-286.68200305027773,True
Bin1,-245.58091035686292,-280.79937215448706,False
Birc2,-284.31748883308853,-260.28615026361155,False
Birc6,-285.6050053515293,-280.2480876510083,False
Blmh,-298.95185685585534,-294.9024224284593,False
Bloc1s1,-320.90503299198497,-304.8296624320807,True
Blvra,-274.64426545880707,-280.2001289139172,False
Blvrb,-257.36433153529026,-258.50754225305985,False
Bmp1,-253.12542714891563,-298.16787653584726,False
