gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Ypel4	0.38	0.17	0.17	0.57	1.0	-621.78064	-618.8841	-620.5585	-620.422	0.0	-0.590051	-12.84799031382028	4.446210507638665	0.0473015873015873	149
Agrn	0.37	0.37	0.37	0.52	1.0	-2735.0527	-2711.8625	-2719.7727	-2721.8652	0.0	-5.727258	-10.526255960380002	2.325817112613515	0.33936507936507937	1069
Rrm2	0.44	0.15	0.15	0.51	1.0	-244.87761	-242.12231	-244.3702	-242.14221	0.0	-1.1879679	-14.156645017698542	4.589514921573899	0.013333333333333334	42
Clptm1	0.49	0.4599999999999999	0.4599999999999999	0.59	1.0	-3328.5508	-3310.8464	-3320.8894	-3317.7388	0.0	-4.695597	-10.135266992308585	4.461013751219946	0.46476190476190476	1464
Gulp1	0.43	0.49	0.43	0.56	1.0	-3443.92	-3405.5422	-3419.142	-3433.3481	0.0	-4.5912647	-10.075842024721215	6.266467428643012	0.4707936507936508	1483
Best1	0.4399999999999999	0.35	0.35	0.6	1.0	-112.40835	-110.81925	-112.240524	-111.00071	0.0	-0.6113297	-15.102731442783744	5.146623854880865	0.005714285714285714	18
Gm17657	0.47	0.38	0.38	0.41	1.0	-25.231403	-25.032475	-25.628809	-24.555614	0.0	-0.29349136	-16.80475691580199	5.189375158535713	0.0006349206349206349	2
Eif2c5	0.47	0.18	0.18	0.39	1.0	-471.29193	-467.33755	-473.59122	-466.35635	0.0	-2.143494	-13.20084725928623	1.5500531531926693	0.03142857142857143	99
Mettl27	0.46	0.2	0.2	0.64	1.0	-1135.4735	-1125.809	-1135.1748	-1126.7493	0.0	-3.7888906	-11.964253689545279	1.774634516013987	0.10126984126984127	319
Zc3h13	0.3299999999999999	0.33	0.3299999999999999	0.59	1.0	-5159.7886	-5063.512	-5120.514	-5091.1665	0.0	-29.802187	-9.215495596656183	0.8561760512555177	0.6987301587301588	2201
Tdrkh	0.45	0.35	0.35	0.56	1.0	-56.37376	-54.556374	-56.23633	-54.46224	0.0	-0.8301634	-15.864348148447744	4.740422209736943	0.0025396825396825397	8
Trir	0.42	0.41	0.41	0.56	1.0	-5600.3735	-5500.2593	-5575.721	-5529.753	0.0	-30.67014	-8.9238801370778	4.900664607184369	0.8406349206349206	2648
Ficd	0.44	0.45	0.44	0.56	1.0	-1431.6609	-1417.509	-1429.9734	-1422.137	0.0	-4.1361885	-11.56848831218502	2.1631745028294587	0.14476190476190476	456
Tmem74	0.17	0.3299999999999999	0.17	0.54	1.0	-38.31029	-39.01281	-38.593834	-38.718304	0.5963912	0.17719753	-16.254455691539764	5.922220797621783	0.0015873015873015873	5
