gene,male_wt_bf,female_wt_bf,male_ko_bf,female_ko_bf,male_wt_frac_detected,female_wt_frac_detected,male_ko_frac_detected,female_ko_frac_detected
CR974586.4,1.7789599,1.6112156,-0.48899215,-0.25244823,0.0026915113871635,0.0024844720496894,0.001863354037267,0.00175983436853
Caap1,-13.826596,-13.262098,-14.428204,-8.190522,0.1094202898550724,0.1107660455486542,0.1099378881987577,0.1158385093167701
Cab39,-35.85983,-74.75633,-75.5859,-58.625088,0.5349896480331263,0.5178053830227743,0.5507246376811594,0.5631469979296067
Cab39l,-9.0845585,-27.211899,-26.418802,-21.87207,0.2209109730848861,0.2075569358178053,0.2112836438923395,0.2132505175983436
Cabcoco1,13.4628105,7.0392604,-2.0570142,-1.6225076,0.0134575569358178,0.0158385093167701,0.0200828157349896,0.0246376811594202
Cabin1,-34.34489,-25.09959,-25.7909,-10.465903,0.2567287784679089,0.2193581780538302,0.2166666666666666,0.210351966873706
Cables1,-4.918894,-7.708727,-26.196991,-7.9930964,0.101863354037267,0.100103519668737,0.0987577639751552,0.1010351966873706
Cables2,-11.805791,-3.4138134,-5.2551117,-10.191818,0.0765010351966873,0.0780538302277432,0.0734989648033126,0.0822981366459627
Cabp1,-0.4818153,3.804477,-1.988082,2.3847098,0.0028985507246376,0.0044513457556935,0.0030020703933747,0.0031055900621118
Cacfd1,-5.742951,-12.895662,-14.857833,-7.4135423,0.1754658385093167,0.165527950310559,0.1606625258799172,0.1718426501035196
Cachd1,-4.2198453,-0.025977086,-1.898978,-4.912108,0.0489648033126294,0.0510351966873706,0.0446169772256728,0.044927536231884
Cacna1a,-0.25897565,1.3984154,-3.4134421,-3.5748713,0.0193581780538302,0.0218426501035196,0.0234989648033126,0.0288819875776397
Cacna1c,-9.856025,-15.165741,-16.807281,-10.617524,0.2106625258799171,0.198343685300207,0.1622153209109731,0.15527950310559
Cacna1d,1.4458104,-1.3902513,-6.9368362,-1.0969752,0.1076604554865424,0.0695652173913043,0.086231884057971,0.0666666666666666
Cacna1g,-1.2443489,-0.22995685,-1.4694813,0.7377559,0.0025879917184265,0.00175983436853,0.0027950310559006,0.0021739130434782
Cacna1h,2.8020926,0.90873414,1.0928667,-0.29115543,0.0039337474120082,0.0044513457556935,0.0093167701863354,0.0065217391304347
Cacna2d1,-72.3253,-62.877697,-76.55203,-16.53203,0.6442028985507247,0.6052795031055901,0.591304347826087,0.5702898550724638
Cacna2d2,-1.0464989,-1.0425029,-1.4977348,0.013391122,0.0019668737060041,0.0012422360248447,0.0010351966873706,0.0003105590062111
Cacna2d3,-3.958802,-2.8685064,-1.7220157,-3.3106737,0.0291925465838509,0.020703933747412,0.0217391304347826,0.0115942028985507
Cacna2d4,-0.9318882,1.0883338,-0.13288407,0.56811625,0.0009316770186335,0.0024844720496894,0.0003105590062111,0.0006211180124223
Cacnb1,-8.40152,-10.309087,-3.3565576,-2.4100375,0.046687370600414,0.0374741200828157,0.0439958592132505,0.0407867494824016
Cacnb2,21.224022,33.391476,-27.958979,-47.154457,0.2186335403726708,0.241407867494824,0.2383022774327122,0.2503105590062112
Cacnb3,-21.8761,-4.826861,-32.21731,-13.067217,0.1654244306418219,0.1356107660455486,0.1332298136645962,0.1068322981366459
Cacnb4,-3.6750686,0.6286985,-2.6877272,-6.3560896,0.017287784679089,0.0144927536231884,0.0092132505175983,0.0099378881987577
Cacng4,-1.9229671,2.0616264,1.753904,0.063233,0.0062111801242236,0.0049689440993788,0.0099378881987577,0.0046583850931677
Cacng7,-9.365323,2.998604,-4.6525493,1.1620771,0.0608695652173913,0.0392339544513457,0.0628364389233954,0.0475155279503105
Cactin,-9.786894,-17.174036,-11.056378,-7.326811,0.0734989648033126,0.0780538302277432,0.0720496894409937,0.0728778467908902
Cacul1,-6.432563,-4.4377346,-16.643784,-23.086313,0.1514492753623188,0.1484472049689441,0.1584886128364389,0.1661490683229813
