ZT,sample,log10_prop
12,193,-4.81939594801159
12,194,-4.8205960578570854
12,195,-4.900039789112597
12,196,-4.83968936472252
12,197,-4.77406661092852
12,198,-4.798686788859958
12,199,-4.727550038604568
12,200,-4.8786588259395804
12,201,-4.962635937938282
12,202,-4.891606610165152
12,203,-4.693769668896314
12,204,-4.944132538303762
12,205,-5.095737266137393
12,206,-4.892434071732615
12,207,-4.759088886005113
12,208,-4.785955146000063
12,209,-4.698261922430316
12,210,-4.965920973772157
12,211,-4.854454837483726
12,212,-4.944982888057209
12,213,-4.923154711187763
12,214,-4.793783620861984
12,215,-4.949189665115261
12,216,-4.758099508403216
12,217,-5.022134760877243
12,218,-4.763004643354673
12,219,-4.972200472766298
12,220,-4.960218552107804
12,221,-4.693761532861452
12,222,-4.966206450248106
12,223,-4.893472533764607
12,224,-4.838554343155913
12,225,-4.886183808819788
12,226,-4.849004498789602
12,227,-4.793310389735395
12,228,-4.792019531808757
12,229,-4.810778277768146
12,230,-4.728758999740736
12,231,-4.787133351136318
12,232,-4.881934786965341
12,233,-4.922308161230818
12,234,-4.8267346514562695
12,235,-5.013620623912581
12,236,-4.801742361688658
12,237,-4.921833276075163
12,238,-4.819720674150221
12,239,-4.811514723033538
12,240,-5.081461296572497
12,241,-4.882497290957961
12,242,-4.996458463035954
12,243,-4.946851985604329
12,244,-4.919441371232987
12,245,-4.8902697523491065
12,246,-4.8705554246249365
12,247,-4.955856788055997
12,248,-4.855727143462741
12,249,-4.876346493306484
12,250,-4.784929916200593
12,251,-4.92483305895053
12,252,-4.917091219448834
12,253,-4.813817220899218
12,254,-4.98531763850884
12,255,-4.623083350988507
12,256,-4.824371625067501
12,257,-4.8970734444464386
12,258,-4.945669801857622
12,259,-4.865045049146096
12,260,-4.823000926710853
12,261,-4.767190677994178
12,262,-4.7415864868794335
12,263,-4.857836388148728
12,264,-4.973358293111911
12,265,-4.845627329066449
12,266,-4.805133300086192
12,267,-4.89118545860237
12,268,-4.817146289669017
12,269,-4.760485691198897
12,270,-4.816054809299964
12,271,-4.933258146566604
12,272,-4.642313450527979
12,273,-4.810970055732729
