gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
FOXF2 (human),7,Napsa;Nr1d1;Ldlr;Polr2d;Cd79a;Gdf15;Hist1h2ae,0.950496,-0.239833,-0.70087,0.221732,0.571648,0.294874,0.849802,0.047032,-0.4001,0.405811,-0.378848,-0.657116,-0.046985
SMARCA2 (human),10,Atad2;Birc5;Tspan4;Rrad;Ccnb1ip1;Tk1;Nfib;Gramd3;Rnf135;Runx3,0.948714,-0.372499,-0.729842,0.018775,0.576215,0.287901,0.821659,-0.198226,-0.540067,0.097905,-0.005491,-0.293926,0.292769
IKZF1 (human),9,Rsad1;Gngt2;Pdlim3;Rnf135;Sema4b;Phyhd1;Gpx7;Gdf15;Hist1h2ae,0.943435,-0.167362,-0.596481,0.406409,0.617186,0.325098,0.944067,-0.123575,-0.553357,0.251892,-0.326249,-0.671765,0.086883
KLF4 (human),14,Amz1;Birc5;Tspan4;Rrad;Cd55;Cuedc1;Cd7;Nr1d1;Nr1d2;Nfib;Lsp1;Ebf1;Gdpd3;Dbp,0.927638,-0.61106,-0.856342,-0.319684,0.279975,0.017806,0.4834,0.316578,0.045054,0.536143,0.014507,-0.229,0.294447
RUNX2 (mouse),13,Cd7;Plac8;Tk1;Ifitm1;Aqp1;Rbm3;Birc5;Gngt2;Gpr141;Rnf135;Runx3;Sgk1;Cmpk2,0.926939,-0.565355,-0.801771,-0.247441,0.180232,-0.057383,0.450183,0.023539,-0.250476,0.325832,0.361584,0.127178,0.631906
RXRA (human),6,Napsa;Arl4d;Nr1d1;Nr1d2;Havcr2;Gdf15,0.920307,-0.467887,-0.905335,0.01807,0.45242,0.119904,0.76844,0.191224,-0.169461,0.642807,-0.175757,-0.484361,0.150671
SP1 (human),13,Pdgfc;Bhlhe41;Snn;Pim1;Tspan4;Per3;Inppl1;Tef;Nr1d2;Nfib;Lsp1;Sgk1;Dbp,0.916899,-0.362002,-0.668378,-0.051325,-0.338044,-0.572448,-0.066393,0.554897,0.324336,0.836358,0.145149,-0.091057,0.362621
ETS1 (mouse),6,Nr1d2;Cadm1;Rgs1;Eln;Havcr2;Dnase1l3,0.910475,-0.268443,-0.714317,0.247116,0.46078,0.15557,0.859617,-0.449694,-0.845019,-0.023418,0.257357,-0.092177,0.653316
KLF11 (human),13,Amz1;Birc5;Tspan4;Rrad;Cd55;Cuedc1;Cd7;Nr1d1;Nr1d2;Nfib;Lsp1;Gdpd3;Dbp,0.906842,-0.609617,-0.906814,-0.264703,0.239772,-0.021828,0.459404,0.297224,0.006759,0.521459,0.072621,-0.149495,0.337098
GATA6 (human),7,Mmp12;Lars2;Cdc20;Ccr2;Cd69;Samd9l;Rgs1,0.904107,0.267447,-0.096288,0.627991,0.272682,-0.033814,0.615812,-0.631425,-0.981541,-0.282062,0.091296,-0.273164,0.453691
AHR (mouse),5,Atad2;Ifit2;Ctse;Dock4;Ddit4,0.900619,-0.463389,-0.910534,-0.026487,0.146536,-0.260538,0.568353,-0.120377,-0.550811,0.329685,0.43723,0.078335,0.78964
HIVEP1 (human),7,Runx3;Cdc20;Il1b;Nfib;Tmem144;Cxcl10;Zwilch,0.890309,0.439525,0.085652,0.820112,-0.265089,-0.600776,0.09455,-0.450784,-0.862006,-0.018539,0.276348,-0.057018,0.634938
SREBF2 (human),10,Napsa;Arl4d;Gngt2;Cd55;Cuedc1;Nr1d1;Plac8;Cx3cr1;Ifitm1;Gdpd3,0.886406,-0.435143,-0.763344,-0.127234,0.451263,0.181194,0.725092,-0.02249,-0.310622,0.265753,0.006371,-0.288657,0.308886
TFAP2A (mouse),11,Dusp2;Nfib;Amz1;Pim1;Socs3;Gngt2;Bccip;Cdk14;Cx3cr1;Runx3;Gdf15,0.879293,-0.162266,-0.448994,0.136265,0.389021,0.168696,0.612634,-0.490272,-0.748881,-0.209085,0.263518,0.0041,0.551473
FOXA1 (human),12,Napsa;Lars2;Birc5;Arl4d;Rsad1;Ecm1;Rgs1;Pdlim3;Plac8;Havcr2;Gramd3;Phyhd1,0.874843,-0.469704,-0.76331,-0.131051,0.405139,0.161609,0.692231,0.02534,-0.311473,0.312341,0.039225,-0.258106,0.318109
Prrx2 (mouse),16,Mmp12;Il10;Inppl1;Odf2l;Cd209d;Cd209a;Lyz1;Tgtp2;Hist1h2ap;Napsa;Cxcl10;Rgs1;Tmem144;Clec4n;Slfn8;Hist1h1b,0.872713,0.057682,-0.215629,0.300092,0.040154,-0.161411,0.279219,-0.485275,-0.716545,-0.224954,0.387439,0.173178,0.653753
MYC (human),15,Bhlhe41;Snn;Kcnj2;Ccdc115;Per3;Cd55;Ube2c;Odf2l;Cd7;Tef;Nr1d1;Nr1d2;Lsp1;Cmpk2;Gdf15,0.862958,-0.379981,-0.612367,-0.087702,-0.214399,-0.442791,0.030583,0.482976,0.204038,0.726904,0.111404,-0.142214,0.3896
ZNF148 (human),13,Rrad;Cuedc1;Cd7;Nr1d1;Nr1d2;Nfib;Gdpd3;Cadm1;Amz1;Birc5;Tspan4;Sema4b;Lsp1,0.862275,-0.460038,-0.75277,-0.150623,0.402237,0.113673,0.625733,0.018148,-0.267687,0.259366,0.039652,-0.232824,0.346644
CRTC3 (human),9,Psmc1;Srbd1;Cd69;Rgs1;Mmp9;Gramd3;Mfap4;Hepacam2;Gdf15,0.858231,-0.229937,-0.615331,0.161884,0.457598,0.12379,0.768369,-0.400633,-0.664442,-0.119408,0.172973,-0.120857,0.479314
ESR1 (human),14,Napsa;Amz1;Snn;Arl4d;Tspan4;Il10;Ccdc115;Gngt2;Ccnb1ip1;Nr1d2;Tk1;Cd79a;Gdf15;Ddit4,0.85572,-0.345487,-0.646665,-0.028178,0.510234,0.24517,0.748508,-0.009153,-0.225108,0.262995,-0.155594,-0.401393,0.134853
ETV4 (human),10,Dusp2;Kcnj2;Tspan4;Cd69;Pdlim3;Sema4b;Phyhd1;Ebf1;Aqp1;Dnase1l3,0.853965,-0.49473,-0.832627,-0.111637,0.359235,0.03026,0.688009,0.153638,-0.226907,0.47672,-0.018142,-0.367287,0.316197
USF1 (human),15,Bhlhe41;Snn;Kcnj2;Ccdc115;Per3;Cd55;Ube2c;Odf2l;Cd7;Tef;Nr1d2;Gramd3;Lsp1;Cmpk2;Rbm3,0.853772,-0.397192,-0.644948,-0.083321,-0.221298,-0.452323,0.035148,0.456579,0.22486,0.72295,0.161911,-0.098831,0.410817
TEAD2 (human),6,Tspan4;Per3;Ecm1;Eln;Phyhd1;Mfap4,0.850455,-0.480312,-0.826396,-0.105645,0.058806,-0.300358,0.421221,0.051363,-0.275226,0.362984,0.370143,-0.004499,0.75828
SPI1 (mouse),12,Srbd1;Cytip;Phyhd1;Gngt2;Eln;Phlpp2;Lsp1;Ebf1;Bcl2a1d;Sgk1;Slfn9;Slfn1,0.837859,-0.129521,-0.434999,0.184011,0.287088,0.010985,0.589491,-0.497713,-0.772752,-0.17197,0.340146,0.102349,0.660427
HIF1A (mouse),10,Napsa;Fn1;Cdc20;Rgs1;Mmp9;Crym;Filip1;Gpr141;Parp14;Cmpk2,0.836647,0.280089,-0.041087,0.586985,0.025457,-0.276882,0.34629,-0.556559,-0.860624,-0.206062,0.251013,-0.051371,0.570785
NR5A1 (human),11,Ndufaf4;Il1b;Ccnb1ip1;Rgs1;Mmp9;Plac8;Eln;Nfib;Gramd3;Ldlr;Gdf15,0.818216,-0.000325,-0.267833,0.248842,0.311257,0.086061,0.561161,-0.506959,-0.804786,-0.243621,0.196027,-0.042135,0.453338
